id,sampn,perno,tripno,MODE_G10,NSUB,StopAreaNo,date_time_origin,lon_origin,lat_origin,date_time_destination,lon_destination,lat_destination
1960,6073825,2,1,10,0,,2008-06-14 11:15:00,,,2008-06-14 11:30:00,-73.9145863853,40.7550836565
1961,6073825,2,2,10,0,,2008-06-14 12:15:00,-73.9145863853,40.7550836565,2008-06-14 12:30:00,,
1962,6074005,1,1,1,2,1363.0,2008-06-14 05:25:00,-73.9337606065,40.7645301588,2008-06-14 06:20:00,-73.9744533128,40.7389277014
1963,6074005,1,2,3,0,,2008-06-14 15:30:00,-73.9744533128,40.7389277014,2008-06-14 16:00:00,-73.9987713679,40.7398054065
1964,6074005,1,3,2,1,1008.0,2008-06-14 18:00:00,-73.9987713679,40.7398054065,2008-06-14 19:00:00,-73.9337606065,40.7645301588
1965,6074087,2,1,1,1,0.0,2008-06-14 10:00:00,-73.9375153205,40.7609421168,2008-06-14 11:00:00,-73.9220408974,40.7620307887
1966,6074087,2,2,1,1,0.0,2008-06-14 14:30:00,-73.9220408974,40.7620307887,2008-06-14 15:30:00,-73.9375153205,40.7609421168
1967,6074288,1,1,8,0,,2008-06-07 09:45:00,-73.8282101268,40.7724683795,2008-06-07 09:55:00,-73.8087256158,40.7924287878
1968,6074288,1,2,8,0,,2008-06-07 18:00:00,-73.8087256158,40.7924287878,2008-06-07 18:15:00,,
1969,6074288,1,3,8,0,,2008-06-07 19:00:00,,,2008-06-07 19:05:00,-73.8282101268,40.7724683795
1970,6074307,1,1,3,0,,2008-06-14 16:30:00,-73.7966880204,40.7690931203,2008-06-14 17:00:00,-73.7906252721,40.764233503
1971,6074307,1,2,3,0,,2008-06-14 17:50:00,-73.7906252721,40.764233503,2008-06-14 18:20:00,-73.7966880204,40.7690931203
1972,6074358,2,3,7,0,,2008-06-14 01:10:00,-73.9884568219,40.727358264,2008-06-14 01:25:00,-73.9841755306,40.7598406405
1973,6074358,2,4,7,0,,2008-06-14 01:26:00,-73.9841755306,40.7598406405,2008-06-14 02:05:00,,
1974,6074358,2,5,7,0,,2008-06-14 02:06:00,,,2008-06-14 02:45:00,-73.8192088221,40.7638176273
1975,6074533,1,1,10,0,,2008-06-14 07:35:00,-73.8273757284,40.7469886192,2008-06-14 07:40:00,-73.8273757284,40.7469886192
1976,6074533,1,2,10,0,,2008-06-14 12:45:00,-73.8273757284,40.7469886192,2008-06-14 12:50:00,-73.8273757284,40.7469886192
1977,6074533,1,3,10,0,,2008-06-14 13:25:00,-73.8273757284,40.7469886192,2008-06-14 13:30:00,-73.8273757284,40.7469886192
1978,6074533,1,4,10,0,,2008-06-14 16:00:00,-73.8273757284,40.7469886192,2008-06-14 16:05:00,-73.8273757284,40.7469886192
1979,6074627,1,1,10,0,,2008-09-06 16:00:00,-73.8197829906,40.7447226554,2008-09-06 16:02:00,-73.8308838752,40.744766607
1980,6074627,1,2,10,0,,2008-09-06 16:05:00,-73.8308838752,40.744766607,2008-09-06 16:10:00,-73.8197829906,40.7447226554
1981,6074941,1,1,8,0,,2008-06-07 07:15:00,-73.8000215553,40.7903024028,2008-06-07 07:40:00,-73.7911842689,40.7352581178
1982,6074941,1,2,8,0,,2008-06-07 07:41:00,-73.7911842689,40.7352581178,2008-06-07 08:00:00,-73.773151972,40.7612122082
