id,sampn,perno,tripno,MODE_G10,NSUB,StopAreaNo,date_time_origin,lon_origin,lat_origin,date_time_destination,lon_destination,lat_destination
972,6029775,1,2,10,0,,2008-05-11 13:00:00,-73.965558675,40.7824729194,2008-05-11 13:15:00,-73.9787965301,40.7774184952
973,6029887,1,1,2,2,1017.0,2008-06-01 07:45:00,-73.9845464696,40.7796567378,2008-06-01 09:00:00,,
974,6029887,1,2,2,2,1176.0,2008-06-01 14:00:00,,,2008-06-01 15:15:00,-73.9845464696,40.7796567378
975,6029891,1,1,1,0,,2008-05-11 17:30:00,-73.9866341431,40.7773866189,2008-05-11 18:00:00,-73.9667466412,40.6880023412
976,6029891,1,2,1,0,,2008-05-11 22:30:00,-73.9667466412,40.6880023412,2008-05-11 22:50:00,-73.9866341431,40.7773866189
977,6029986,1,1,1,0,,2008-05-11 10:00:00,-73.989610321,40.7741422149,2008-05-11 10:25:00,-73.9897030759,40.7522506731
978,6029986,1,2,3,0,,2008-05-11 17:30:00,-73.9897030759,40.7522506731,2008-05-11 18:25:00,-73.9753457329,40.7639779012
979,6029986,1,3,3,0,,2008-05-11 20:00:00,-73.9753457329,40.7639779012,2008-05-11 20:30:00,-73.989610321,40.7741422149
980,6030140,1,1,1,3,1017.0,2008-05-04 11:00:00,-73.9771935851,40.779949232,2008-05-04 13:30:00,-73.9883938754,40.6976265588
981,6030140,1,2,9,0,,2008-05-04 14:00:00,-73.9883938754,40.6976265588,2008-05-04 14:30:00,-74.0061463442,40.7188621404
982,6030140,1,3,1,1,1005.0,2008-05-04 16:30:00,-74.0061463442,40.7188621404,2008-05-04 17:45:00,-73.9771935851,40.779949232
983,6030140,2,1,1,1,,2008-05-04 09:45:00,-73.9771935851,40.779949232,2008-05-04 11:40:00,,
984,6030140,2,2,1,1,1012.0,2008-05-04 18:00:00,,,2008-05-04 19:46:00,-73.9771935851,40.779949232
985,6030165,1,1,3,0,,2008-05-18 16:00:00,-73.9756785006,40.7929423587,2008-05-18 16:30:00,-73.9842785152,40.7698196719
986,6030165,1,2,3,0,,2008-05-18 17:30:00,-73.9842785152,40.7698196719,2008-05-18 18:00:00,-73.9756785006,40.7929423587
987,6030197,1,1,1,1,1189.0,2008-05-11 11:00:00,-73.9693887202,40.790308058,2008-05-11 11:45:00,-73.9908421549,40.7190461153
988,6030197,1,2,1,1,1178.0,2008-05-11 14:00:00,-73.9908421549,40.7190461153,2008-05-11 15:00:00,-73.9693887202,40.790308058
989,6030387,1,1,9,0,,2008-05-04 15:00:00,-73.9792765898,40.787825109,2008-05-04 15:30:00,-73.9792765898,40.787825109
990,6030387,1,2,9,0,,2008-05-04 15:45:00,-73.9792765898,40.787825109,2008-05-04 18:00:00,-73.965558675,40.7824729194
991,6030387,1,3,9,0,,2008-05-04 15:45:00,-73.965558675,40.7824729194,2008-05-04 18:00:00,-73.9792765898,40.787825109
992,6030387,1,4,9,0,,2008-05-04 15:45:00,-73.9792765898,40.787825109,2008-05-04 18:00:00,-73.9792765898,40.787825109
993,6030440,1,1,1,1,1009.0,2008-08-10 09:00:00,-73.9904586232,40.7374347364,2008-08-10 09:25:00,-73.9731196545,40.7851956662
994,6030457,1,1,1,1,1012.0,2008-05-11 10:00:00,,,2008-05-11 12:25:00,-73.9749982928,40.7823577796
995,6030487,1,1,1,1,1012.0,2008-05-18 10:30:00,,,2008-05-18 13:15:00,-73.9749982928,40.7823577796
