transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6032847_2_2,3:123,6054183_2_3,1,35.0752378174,31.7722099382,12.1507792578
6032847_2_2,3:123,6054183_2_3,4,35.0752378174,32.7313516211,11.484964318
6032847_2_2,3:123,6007906_3_3,1,35.0752378174,31.7722099382,12.1507792578
6032847_2_2,3:123,6007906_3_3,4,35.0752378174,32.7313516211,11.484964318
6032847_2_2,3:122,6007906_1_3,1,35.0752378174,31.072706209,11.4512755286
6032847_2_2,3:122,6007906_1_3,4,35.0752378174,32.2268330302,10.9804457271
6032847_2_2,3:122,6007906_1_3,7,35.0752378174,34.8312532944,12.0295743783
6032847_2_2,3:122,6054183_2_3,1,35.0752378174,31.072706209,11.4512755286
6032847_2_2,3:122,6054183_2_3,4,35.0752378174,32.2268330302,10.9804457271
6032847_2_2,3:122,6054183_2_3,7,35.0752378174,34.8312532944,12.0295743783
6032847_2_2,3:122,6007906_3_3,1,35.0752378174,31.072706209,11.4512755286
6032847_2_2,3:122,6007906_3_3,4,35.0752378174,32.2268330302,10.9804457271
6032847_2_2,3:122,6007906_3_3,7,35.0752378174,34.8312532944,12.0295743783
6032847_2_2,3:121,6007906_1_3,1,35.0752378174,30.7523798622,11.1309491818
6032847_2_2,3:121,6007906_1_3,4,35.0752378174,31.8207784798,10.5743911767
6032847_2_2,3:121,6007906_1_3,7,35.0752378174,33.1605568509,10.3588779349
6032847_2_2,3:121,6054183_2_3,1,35.0752378174,30.7523798622,11.1309491818
6032847_2_2,3:121,6054183_2_3,4,35.0752378174,31.8207784798,10.5743911767
6032847_2_2,3:121,6054183_2_3,7,35.0752378174,33.1605568509,10.3588779349
6032847_2_2,3:121,6007906_3_3,1,35.0752378174,30.7523798622,11.1309491818
6032847_2_2,3:121,6007906_3_3,4,35.0752378174,31.8207784798,10.5743911767
6032847_2_2,3:121,6007906_3_3,7,35.0752378174,33.1605568509,10.3588779349
6032847_2_2,3:120,6007906_1_3,1,35.0752378174,30.4632053471,10.8417746667
6032847_2_2,3:120,6007906_1_3,4,35.0752378174,31.6328427616,10.3864554585
6032847_2_2,3:120,6007906_1_3,7,35.0752378174,33.0213014632,10.2196225471
6032847_2_2,3:120,6054183_2_3,1,35.0752378174,30.4632053471,10.8417746667
6032847_2_2,3:120,6054183_2_3,4,35.0752378174,31.6328427616,10.3864554585
6032847_2_2,3:120,6054183_2_3,7,35.0752378174,33.0213014632,10.2196225471
6032847_2_2,3:120,6007906_3_3,1,35.0752378174,30.4632053471,10.8417746667
6032847_2_2,3:120,6007906_3_3,4,35.0752378174,31.6328427616,10.3864554585
6032847_2_2,3:120,6007906_3_3,7,35.0752378174,33.0213014632,10.2196225471
6032847_2_2,3:119,6007906_1_3,1,35.0752378174,28.4087365726,8.78730589216
6032847_2_2,3:119,6007906_1_3,4,35.0752378174,29.5783739838,8.33198668068
6032847_2_2,3:119,6007906_1_3,7,35.0752378174,30.8863767775,8.08469786144
6032847_2_2,3:119,6054183_2_3,1,35.0752378174,28.4087365726,8.78730589216
6032847_2_2,3:119,6054183_2_3,4,35.0752378174,29.5783739838,8.33198668068
6032847_2_2,3:119,6054183_2_3,7,35.0752378174,30.8863767775,8.08469786144
6032847_2_2,3:119,6007906_3_3,1,35.0752378174,28.4087365726,8.78730589216
6032847_2_2,3:119,6007906_3_3,4,35.0752378174,29.5783739838,8.33198668068
